serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
86_4,RSV B 2024,2,3.429e-05,G8,V4P3,RSV_Historical_Sera_2,0.8083,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,2,1.143e-05,G9,V4P3,RSV_Historical_Sera_2,1.006,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,2,3.81e-06,G10,V4P3,RSV_Historical_Sera_2,0.9259,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,1,0.025,D2,V4P3,RSV_Historical_Sera_2,0.01075,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,1,0.008333,D3,V4P3,RSV_Historical_Sera_2,0.005299,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,1,0.002778,D4,V4P3,RSV_Historical_Sera_2,0.01861,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,1,0.0009259,D5,V4P3,RSV_Historical_Sera_2,0.1364,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,1,0.0003086,D6,V4P3,RSV_Historical_Sera_2,0.4469,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,1,0.0001029,D7,V4P3,RSV_Historical_Sera_2,0.6959,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,1,3.429e-05,D8,V4P3,RSV_Historical_Sera_2,0.534,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,1,1.143e-05,D9,V4P3,RSV_Historical_Sera_2,0.7283,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,1,3.81e-06,D10,V4P3,RSV_Historical_Sera_2,0.7852,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,2,0.025,E2,V4P3,RSV_Historical_Sera_2,0.002088,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,2,0.008333,E3,V4P3,RSV_Historical_Sera_2,0.008887,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,2,0.002778,E4,V4P3,RSV_Historical_Sera_2,0.03718,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,2,0.0009259,E5,V4P3,RSV_Historical_Sera_2,0.19,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,2,0.0003086,E6,V4P3,RSV_Historical_Sera_2,0.3166,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,2,0.0001029,E7,V4P3,RSV_Historical_Sera_2,0.6386,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,2,3.429e-05,E8,V4P3,RSV_Historical_Sera_2,0.7439,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,2,1.143e-05,E9,V4P3,RSV_Historical_Sera_2,0.6955,24.10.17_RSVNeut_Sera_Evo2
86_6,RSV B 2024,2,3.81e-06,E10,V4P3,RSV_Historical_Sera_2,0.8168,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,1,0.025,B2,V4P3,RSV_Historical_Sera_2,0.0005921,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,1,0.008333,B3,V4P3,RSV_Historical_Sera_2,0.0006736,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,1,0.002778,B4,V4P3,RSV_Historical_Sera_2,0.001827,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,1,0.0009259,B5,V4P3,RSV_Historical_Sera_2,0.02034,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,1,0.0003086,B6,V4P3,RSV_Historical_Sera_2,0.2821,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,1,0.0001029,B7,V4P3,RSV_Historical_Sera_2,0.5772,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,1,3.429e-05,B8,V4P3,RSV_Historical_Sera_2,0.6717,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,1,1.143e-05,B9,V4P3,RSV_Historical_Sera_2,0.8533,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,1,3.81e-06,B10,V4P3,RSV_Historical_Sera_2,1.098,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,2,0.025,C2,V4P3,RSV_Historical_Sera_2,0.0006472,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,2,0.008333,C3,V4P3,RSV_Historical_Sera_2,0.0007834,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,2,0.002778,C4,V4P3,RSV_Historical_Sera_2,0.007167,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,2,0.0009259,C5,V4P3,RSV_Historical_Sera_2,0.0176,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,2,0.0003086,C6,V4P3,RSV_Historical_Sera_2,0.1987,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,2,0.0001029,C7,V4P3,RSV_Historical_Sera_2,0.5173,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,2,3.429e-05,C8,V4P3,RSV_Historical_Sera_2,0.6579,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,2,1.143e-05,C9,V4P3,RSV_Historical_Sera_2,0.8723,24.10.17_RSVNeut_Sera_Evo2
85_3,RSV B 2024,2,3.81e-06,C10,V4P3,RSV_Historical_Sera_2,0.8604,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,1,0.025,F2,V4P4,RSV_Historical_Sera_2,0.0006388,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,1,0.008333,F3,V4P4,RSV_Historical_Sera_2,0.001385,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,1,0.002778,F4,V4P4,RSV_Historical_Sera_2,0.005198,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,1,0.0009259,F5,V4P4,RSV_Historical_Sera_2,0.1487,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,1,0.0003086,F6,V4P4,RSV_Historical_Sera_2,0.3889,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,1,0.0001029,F7,V4P4,RSV_Historical_Sera_2,0.6191,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,1,3.429e-05,F8,V4P4,RSV_Historical_Sera_2,0.8087,24.10.17_RSVNeut_Sera_Evo2
