date,BEI or IntRef,serum,virus,replicate,concentration,fraction infectivity
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,2,0.00015625,0.160145247
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,2,3.90625E-05,0.470967523
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,2,9.76563E-06,0.79359962
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,2,2.44141E-06,0.864662164
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,2,6.10352E-07,0.917500933
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,2,1.52588E-07,0.935113856
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,3,0.01,0.000368344
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,3,0.0025,0.006786575
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,3,0.000625,0.000913123
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,3,0.00015625,0.139274443
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,3,3.90625E-05,0.498048665
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,3,9.76563E-06,0.713985136
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,3,2.44141E-06,1.009739709
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,3,6.10352E-07,1.019106119
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,3,1.52588E-07,0.998642549
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,1,0.01,8.00769E-05
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,1,0.0025,0.000540316
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,1,0.000625,0.060471578
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,1,0.00015625,0.351685158
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,1,3.90625E-05,0.735684245
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,1,9.76563E-06,0.73225874
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,1,2.44141E-06,0.948636459
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,1,6.10352E-07,0.922031705
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,1,1.52588E-07,0.995794241
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,2,0.01,0.000209184
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,2,0.0025,0.000527642
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,2,0.000625,0.097170152
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,2,0.00015625,0.304984109
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,2,3.90625E-05,0.774963366
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,2,9.76563E-06,0.933107504
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,2,2.44141E-06,1.19778484
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,2,6.10352E-07,0.898053171
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,2,1.52588E-07,0.975127029
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,3,0.01,9.51834E-05
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,3,0.0025,0.000313091
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,3,0.000625,0.041665557
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,3,0.00015625,0.324737854
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,3,3.90625E-05,0.836850819
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,3,9.76563E-06,0.967134185
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,3,2.44141E-06,0.957656955
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,3,6.10352E-07,0.790263954
24.10.25,BEI,BEI Medium Control NR-4022,RSV B1 R1,3,1.52588E-07,1.000133214
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,1,0.01,0.00029005
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,1,0.0025,0.000677811
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,1,0.000625,0.010318408
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,1,0.00015625,0.334825871
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,1,3.90625E-05,0.744776119
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,1,9.76563E-06,0.785870647
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,1,2.44141E-06,1.084577114
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,1,6.10352E-07,0.937114428
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,1,1.52588E-07,1.000995025
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,2,0.01,0.000731642
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,2,0.0025,0.001061692
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,2,0.000625,0.045124378
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,2,0.00015625,0.468258706
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,2,3.90625E-05,0.726467662
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,2,9.76563E-06,0.905572139
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,2,2.44141E-06,1.060696517
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,2,6.10352E-07,1.160199005
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,2,1.52588E-07,1.064676617
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,3,0.01,0.005100498
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,3,0.0025,0.005121393
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,3,0.000625,0.04081592
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,3,0.00015625,0.378109453
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,3,3.90625E-05,0.897014925
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,3,9.76563E-06,1.059701493
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,3,2.44141E-06,0.871840796
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,3,6.10352E-07,0.997014925
24.10.25,BEI,BEI Low Control NR-4023,RSV B1 R1,3,1.52588E-07,1.012935323
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,1,0.01,0.000309836
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,1,0.0025,0.000415327
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,1,0.000625,0.015452174
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,1,0.00015625,0.144715555
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,1,3.90625E-05,0.441278436
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,1,9.76563E-06,0.769538086
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,1,2.44141E-06,0.856704197
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,1,6.10352E-07,0.838775712
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,1,1.52588E-07,0.983392214
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,2,0.01,0.000314095
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,2,0.0025,0.000359857
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,2,0.000625,0.002739789
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,2,0.00015625,0.143130716
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,2,3.90625E-05,0.559844158
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,2,9.76563E-06,0.670683792
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,2,2.44141E-06,1.048964902
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,2,6.10352E-07,1.026182851
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,2,1.52588E-07,1.079671146
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,3,0.01,0.001181695
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,3,0.0025,0.000301416
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,3,0.000625,0.0013798
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,3,0.00015625,0.22504705
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,3,3.90625E-05,0.585597781
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,3,9.76563E-06,0.859774821
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,3,2.44141E-06,1.102453198
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,3,6.10352E-07,1.09056691
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R2,3,1.52588E-07,1.126225773
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,1,0.01,0.008547959
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,1,0.0025,0.000636315
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,1,0.000625,0.071036822
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,1,0.00015625,0.382524827
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,1,3.90625E-05,0.400670236
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,1,9.76563E-06,0.813110466
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,1,2.44141E-06,1.002411214
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,1,6.10352E-07,1.036004741
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,1,1.52588E-07,1.12305366
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,2,0.01,0.000371981
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,2,0.0025,0.000499734
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,2,0.000625,0.032293923
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,2,0.00015625,0.29253341
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,2,3.90625E-05,0.8856921
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,2,9.76563E-06,0.869017941
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,2,2.44141E-06,0.83468879
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,2,6.10352E-07,1.264048388
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,2,1.52588E-07,0.873431689
